title,imdb_url,budget,genres,trailer_url
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_21,50 million USD or more,"['Adventure', 'Drama', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi1586278169/1434659607842-pgv4ql-1616202363366.mp4?Expires=1713548811&Signature=fbKGDiFVM5cEY40t~fN4YIcDGtOzu01yMBR2BeVgpPLuWm8Kaopm~HnilFyytV1tbJGbfGk61TgSyCf5~nhrzjfI7tKBRV9DiTyveazEGbhQfDuzhtrk7P5eCk9oWYNdCcc8r5wN5nI35UXQsdUkPXm7jPmSdilxz6kBl8-BfCORayHv68tplefm8x8tqCM8X~TvTXlYOix7GkOiyQtbZz1I3MowK81b9JFV3Xxh7k~cUhQcnZFe28zRCLPKOE0Xp4QOK8PIBmuavkf58lA0sZ~stuG9UnJMDbsyB7OWVyZQ3wmSRQQKODUL2GN5udWbj~oSZmTXCAJdrVxeg9y-sA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_22,1-10 million USD,"['Drama', 'Family', 'Fantasy']",https://imdb-video.media-imdb.com/vi1101988121/1434659607842-pgv4ql-1564594359395.mp4?Expires=1713548184&Signature=RXGgatvYgXGm1fGpWFLEOsVRAJ5pw36rHg8fX40yKztQisOCV1Bl3O0YPohAef72kI9IEa6Li9GUWZePRf2v4qH7XdoK8GNhTARTyCGgk6G3xtyDJMvro7nozizSw1skNwzOpVaymCCHGa4~UQQgKaQGEgPSmOgWIMVLG~kEjkk5-ClQQqX2Lu5bfu3hLxnhWsYT6rSZBov4JOiVWE~b4G4UgrH0qEldDEIEFUDFuTmiJDh-aC0McJPvppNcMuNaI3dBY~O0mWbBD2Q7OIewoNuog8GuKZ5vC8VJ4IEE2rcG9p6vpXBeBJREs0h8Ex9iaGgenWxKI0uUXCwwNSZ4yg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Seven Samurai,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23,50 million USD or more,"['Action', 'Drama']",https://imdb-video.media-imdb.com/vi2923348761/1434659607842-pgv4ql-1641601248908.mp4?Expires=1713548339&Signature=cRxhjlXYPrA0UQMg2w0gi4Q3AQJj7ltiy7j-x1gNdx3yGI8Dr6ov4P4NlpdixndyMZn6O2-S4L4CP8QtlISb~kGovUnLy7lhUB4AWoae1Z0yI3kaYC0-cz7zF7ypXz3xjhvk9I4~7LdAWxoKLnyfKsax5YUoOfuRby-XGBSUO9vElTqtoi2BMNMK9UTdzkJcB8NhH2v1B5qNCfWg4RvNG7PkTz5EohfecFRSIIha2IN7br6LYxU94R1L0ewXbb8HdryVlG4~OGjK6RAbJa~l3p-Ml4OtWZEEJ~qrWkpq-zlSs2M5AdVlkb6abpTe0U3eciZWFbw51945LgNnDRS0jw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_24,10-25 million USD,"['Crime', 'Drama', 'Thriller']",https://imdb-video.media-imdb.com/vi3377380121/1434659607842-pgv4ql-1537473620563.mp4?Expires=1713548347&Signature=RNtlibJJ-ixPSKonCD1cFYVUAOdi5c-KHmTrSKN9QzYSfWrraYv2thQIr4vnS~0DBJVUaQQXaYI6TO-I1msxtiRIohAzLJGFIz11~N~19ObT2AANtN~snT20gtFkYivruEJmFfVkoBNP4a8dy10o1pAV2wUxRdbaHz~OK5HiM5a0lKJUsyRoaMn0b-WfaszNwLBz6gzgbsYLETOkht9lapcnFe2jMjcw1WsqiBYwmBBbA5A7hct6pRBVCdFacji8t4idudT2NPYAEoB0FxiJ7oOGuTpdn4aIr7Jmou-OAjq0RhysjPZpoy7Tlzrb2qHYvYcvNLS4NzaePDm1ToaskA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_25,50 million USD or more,"['Drama', 'War']",https://imdb-video.media-imdb.com/vi1908983577/1434659607842-pgv4ql-1697562251367.mp4?Expires=1713548460&Signature=IN0hvu4okQkwJ5h96LkmNe2P6zBNU8l86~-LbZ8WtxhAbUBVz6lMbEqBp7TZNqWiCCUe4O4ArY7lYibhov8JgX9T6xFX2wILCpXU9b-5KjgdMvhDJp8TJjuGnF46vhV830w1fjpbQpcf2uGgTwkR9MTCSy~YEQbev6PwQc41uWZcs75GGBpA~7IITJtNl1G0lrGul3fcK75x8H9asFafsIGwxqXAMvSuKW~36DgJnk4yBP0~An6ng2czRRqi-Jn8XFfkoRs1nKwoIdMr6pxyWn1rGG-B0eJxim3CyZX-wJYzWCbjS4fEKD32elx4M~PGYAwlUsiOtXPVrvCUEyh5PA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
City of God,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26,1-10 million USD,"['Crime', 'Drama']",https://imdb-video.media-imdb.com/vi1783208985/1434659607842-pgv4ql-1563947141179.mp4?Expires=1713548103&Signature=EwPI2SzksGUrBk5gcOxr-V9m2q2haBj9YsFni~QS4ulcL6f5Qz5dT2GMj5tYQOV1FTpdMckl2IZaufnbjZtkef0V2xeL5tp2XvWlSrfjtP4CpC4seJFTp6vwY~K9e32MopxDzMyjkCjPK7~GwXpSKFPvID4Gfh~MEDDSUytgMH5kq5LhL97IiXCs5tKofpnX9t-ChKGYp738naqGYKD5-QGeBauOSyCBZfGLX6r-xoYv-xiSNwAM1mNiZAxzEOenrKCwDcnEOix4D33nzHWWH0b4rw1tnim5cgSA35Mjpw6NyCjCTzdoU8s6MOmLBIclR4Q7kMKTb4gED5lYoe80PQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27,10-25 million USD,"['Comedy', 'Drama', 'Romance']",https://imdb-video.media-imdb.com/vi2332801561/1434659607842-pgv4ql-1548604686311.mp4?Expires=1713548465&Signature=nYewOU6i-E8rES5Vbnkyc~ZqCAWgriL44hXKIIpqVowSLzVRCHNA1PWHPH0cRW2oH6w7bbPDbRAqfF2BHD6Jdw7PHSOQidwJu1EuyK0b~EYtVcuf3-daY-6g55eZNJEsTX6CKe7hbWpY-5dgNPSXsgToKzHVTw9dAcAZU-drdbfAAmfY~ihwqLKYILwktkV8JK8Tqa54gPlzaieq4JFThJ3MYnJkxRRHco3Fee0FsB7PPoftXEFYr~dfzHPRYaDszNaickZDeOWWtsFKNxQYvgfxvuXZM3Eh4N0kIiX5G6ex4K03b~V6h7jIjoBGwFEFi77tfUNiVVCVk3x5R-QHig__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_28,50 million USD or more,"['Crime', 'Drama', 'Fantasy']",https://imdb-video.media-imdb.com/vi552796441/1434659607842-pgv4ql-1563977441652.mp4?Expires=1713548353&Signature=jJupkF2NdNSWI1GBfXEJW69y9mtJF1Z0eA4JrvDb1Yq29rHQOC74W2CQhVSWUsg51LFazX6m6r6PXI7NLYKzXYf~cNmidI8J56wCKZh083FiqM-vLMADgdzmQRQs1yOH1bj5k~h4i93adiVSJWcIJQDgdS2IRUsPBszVLUCwJYLB5oxaK4-o64VSYs0k9-x-MBGjKPUohaoG3YAJW5DoI1TseuMlYjjmXsuSq10NYF7~4vftnHTbsA5aNwOyu0inJCGyE53hTUJjgjT9GRr6LBtSaGcFrVmwt8mDH2P~e1R-wev7bOFkiIbuJqb2JVT~DzBjkoCiA09Lgyhsijg0EA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_29,50 million USD or more,"['Action', 'Adventure', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi2748889369/1434659607842-pgv4ql-1498868672528.mp4?Expires=1713548100&Signature=mlDy-wfqIsfErVIHY8mLLfh8mq2B0Hdt1ep8TP2TLo7TaQ7L7Ks32ep0ZMyf1PDEctP~wqFezhE86yBBwbuWkjbqGT1EBFsFO~fcdmJykr0e0KaFQs4Ot12bnsL6aHqrb53GvJN060FmogPOiMdlnYpjNLpcOoiVmLiKqK2WR~ESeIGa2ERzaMaNhsxdFhDTJ1gwdVOY5M38f3Tyq40WGINr48ZOt5rCZGzVLvKj7HB~T6d9PG0uOmOeVSqRX9e~mEZCtQ23MUVCBI3OCQN97qwAy3CVloPuRzIJ-HhNY4b9hYuC6PJKgtGqZsWcBc5JxJog8DRNOqw8Vtq-p7DeuA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_30,10-25 million USD,"['Action', 'Adventure', 'Fantasy']",https://imdb-video.media-imdb.com/vi1317709849/1434659607842-pgv4ql-1616202535791.mp4?Expires=1713548896&Signature=dTAvbGXTuDr0CERDid1~rISl1dbFdcXNjxLQS23xtxd5RJ9eNzhN6OXN6gxdOTIGbNxo4FBcgsrEn44yFOGAvCZYafc8gtCiw4bGUi6-uzuCQziB17JIUh4hvCpvUqwKB4PqVrAes8c4UiyrujQI02b7yoZYanQjX5pd5tKKNp~XSEZ47Qoi1-Gf6e04BJBC51NnsgbcZNUXSArhNWWJaqRk~ayp9F4V9xILuF2J~~UDLIGKdIus4q8sitfEuNRvjEbA2uBYPiIshywAsbRArSunEmLa1IcauoVy76CtudPGy2on6B6dMOLfHc~hER-VfPFLOj4xtS5hi5ABohHGuA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
